field1,field2,field3,field4,field5,_GC_TYPE,_X,_Y
대구도시철도공사,1호선,대곡,대구광역시 달서구 비슬로 지하 2718,053-644-7723,정,128.512486,35.80943825
대구도시철도공사,1호선,교대,대구광역시 남구 중앙대로 지하 194(대명동),053-473-7702,정,128.5905961,35.85009547
대구도시철도공사,1호선,각산,대구광역시 동구 안심로 지하 363(신서동),053-963-7754,정,128.724166,35.86800191
대구도시철도공사,1호선,대구역,대구광역시 북구 칠성남로30길 지하 24,053-426-7797,정,128.5972156,35.8763437
대구도시철도공사,1호선,대명,대구광역시 남구 대명로 지하71,053-627-7746,정,128.5653785,35.83931538
대구도시철도공사,1호선,동구청,대구광역시 동구 신암남로 지하169(신암동),053-942-7721,정,128.6320835,35.88423782
대구도시철도공사,1호선,동촌,대구광역시 동구 해동로 지하197(검사동),053-981-7731,정,128.6504589,35.88596368
대구도시철도공사,1호선,동대구역,대구광역시 동구 동대구로 지하530( 신천동),053-742-7787,정,128.6273251,35.87742984
대구도시철도공사,1호선,명덕1,대구광역시 중구 명덕로 지하185(남산동),053-255-7723,정,128.5911511,35.85795208
대구도시철도공사,1호선,반야월,대구광역시 동구 안심로 지하261,053-962-7798,정,128.7132065,35.86621082
대구도시철도공사,1호선,상인,대구광역시 달서구 월배로 지하 223,053-642-7745,정,128.5378974,35.81895223
대구도시철도공사,1호선,방촌,대구광역시 동구 동촌로 지하275(방촌동),053-984-7716,정,128.6701203,35.87963776
대구도시철도공사,1호선,반월당1,대구광역시 중구 달구벌대로 지하2100(덕산동),053-255-7735,정,128.5934942,35.8655039
대구도시철도공사,1호선,서부정류장,대구광역시 남구 월배로 지하501 (대명동),053-651-7736,정,128.5570275,35.83712619
대구도시철도공사,1호선,설화명곡,대구광역시 달성군 비슬로 지하 2476,053-634-2674,정,128.4892596,35.79867292
대구도시철도공사,1호선,송현,대구광역시 달서구 월배로 지하 412,053-626-7730,정,128.551747,35.83106798
대구도시철도공사,1호선,신천,대구광역시 동구 동부로 지하 41,053-756-7706,정,128.6176506,35.87463437
대구도시철도공사,1호선,신기,대구광역시 동구 안심로 지하159(신기동),053-962-7773,정,128.7024758,35.86670008
대구도시철도공사,1호선,아양교,대구광역시 동구 아양로 지하245(신암동),053-942-7724,정,128.639646,35.88711889
대구도시철도공사,1호선,안심,대구광역시 동구 안심로 지하 455,053-963-7769,정,128.7337722,35.87127992
대구도시철도공사,1호선,용계,대구광역시 동구 동촌로 지하 383,053-985-7798,정,128.6816429,35.8762451
대구도시철도공사,1호선,영대병원,대구광역시 남구 대명로 지하 292 영대병원역,053-626-7760,정,128.5876197,35.84395394
대구도시철도공사,1호선,월배,대구광역시 달서구 월배로 지하 143,053-642-7732,정,128.530326,35.81614135
대구도시철도공사,1호선,안지랑,대구광역시 남구 대명로 지하 141,053-626-7747,정,128.573175,35.83926584
대구도시철도공사,1호선,월촌,대구광역시 달서구 월배로 지하 311,053-626-7710,정,128.5454907,35.82373328
대구도시철도공사,1호선,율하,대구광역시 동구 안심로 지하57,053-962-7729,정,128.6927784,35.8697782
대구도시철도공사,1호선,진천,대구광역시 달서구 월배로 지하 76,053-642-7723,정,128.5231144,35.81389041
대구도시철도공사,1호선,중앙로,대구광역시 중구 중앙대로 424 중앙로역,053-256-7746,정,128.5940134,35.87096445
대구도시철도공사,1호선,해안,대구광역시 동구 동촌로 지하167(방촌동),053-981-7775,정,128.6599186,35.88350341
대구도시철도공사,1호선,칠성시장,대구광역시 북구 칠성남로 지하222 (칠성동),053-427-7751,정,128.6051696,35.87612653
대구도시철도공사,2호선,감삼,대구광역시 달서구 달구벌대로 지하 1665(감삼동),053-552-2856,정,128.5479033,35.85423495
대구도시철도공사,2호선,강창,대구광역시 달서구 달구벌대로 지하1014,053-585-0660,정,128.4783435,35.85307787
대구도시철도공사,1호선,현충로,대구광역시 남구 대명로 지하222 (대명동),053-651-7756,정,128.5819214,35.84117266
대구도시철도공사,1호선,화원,대구광역시 달성군 화원읍 비슬로 2600,053-634-5125,정,128.5006787,35.80443418
대구도시철도공사,2호선,계명대,대구광역시 달서구 달구벌대로 지하1140,053-588-0990,정,128.4919786,35.85150372
대구도시철도공사,2호선,경대병원,대구광역시 중구 달구벌대로 지하2190 (삼덕동),053-427-0523,정,128.6028004,35.86320099
대구도시철도공사,2호선,내당,대구광역시 서구 달구벌대로 지하1827,053-656-6038,정,128.5647428,35.86017698
대구도시철도공사,2호선,담티,대구광역시 수성구 달구벌대로 지하 2672,053-752-0959,정,128.6535326,35.8545934
대구도시철도공사,2호선,고산,대구광역시 수성구 달구벌대로 3080,053-791-0858,정,128.6938547,35.84287054
대구도시철도공사,2호선,두류,대구광역시 달서구 달구벌대로 지하1760,053-628-3663,정,128.5566063,35.85754682
대구도시철도공사,2호선,다사,대구광역시 달성군 다사읍 다사역로 지하30,053-588-6680,정,128.4585444,35.86472894
대구도시철도공사,2호선,대실,대구광역시 달성군 다사읍 달구벌대로 지하 888,053-587-1933,정,128.4656589,35.85727725
대구도시철도공사,2호선,대공원,대구광역시 수성구 달구벌대호 지하2950,053-791-0881,대,128.6611082,35.83410413
대구도시철도공사,2호선,대구은행,대구광역시 수성구 달구벌대로 지하2300,053-752-0206,정,128.6142241,35.85973636
대구도시철도공사,2호선,문양,대구광역시 달성군 다사읍 문양역길 71,053-584-6826,정,128.4370925,35.86407956
대구도시철도공사,2호선,만촌,대구광역시 수성구 달구벌대로 2584,053-751-0287,정,128.6453761,35.85857519
대구도시철도공사,2호선,반월당2,대구광역시 중구 달구벌대로 지하2100,053-252-0689,정,128.5934942,35.8655039
대구도시철도공사,2호선,사월,대구광역시 수성구 달구벌대로 지하 3290,053-795-0767,정,128.7153621,35.83676687
대구도시철도공사,2호선,반고개,대구광역시 달서구 달구벌대로 지하1900,053-655-1196,정,128.5725548,35.86219912
대구도시철도공사,2호선,연호,대구광역시 수성구 달구벌대로 지하 2870,053-791-0922,정,128.6718396,35.84645909
대구도시철도공사,2호선,범어,대구광역시 수성구 달구벌대로 지하 2396,053-756-9376,정,128.6244551,35.85901535
대구도시철도공사,2호선,신매,대구광역시 수성구 달구벌대로 지하 3180,053-791-0898,정,128.70436,35.84071466
대구도시철도공사,2호선,성서산업단지,대구광역시 달서구 달구벌대로 지하 1280,053-582-6215,정,128.5072505,35.85173007
대구도시철도공사,2호선,수성구청,대구광역시 수성구 달구벌대로 지하 2500,053-756-7822,정,128.6361252,35.85842051
대구도시철도공사,2호선,용산,대구광역시 달서구 달구벌대로 지하1476,053-553-3598,정,128.5283918,35.84896527
대구도시철도공사,2호선,영남대,"경상북도 경산시 대학로 지하270(대동, 영남대역)",053-801-3785,정,128.7521479,35.83583382
대구도시철도공사,2호선,임당,경상북도 경산시 대학로 170,053-811-0732,정,128.7413845,35.83401347
대구도시철도공사,2호선,이곡,대구광역시 달서구 달구벌대로 지하 1357,053-582-6214,정,128.5157678,35.85062066
대구도시철도공사,2호선,죽전,대구광역시 달서구 달구벌대로 지하 1560,053-556-0292,정,128.5383909,35.85054357
대구도시철도공사,3호선,구암,대구광역시 북구 팔거천동로 1(구암동),053-327-1667,정,128.5503258,35.92566178
대구도시철도공사,3호선,공단,대구광역시 서구 팔달로 28,053-327-1668,정,128.5536588,35.89180694
대구도시철도공사,2호선,정평,경상북도 경산시 대학로 지하60,053-811-4753,정,128.7291977,35.83398098
대구도시철도공사,2호선,청라언덕2,대구광역시 중구 달구벌대로 지하 2000,053-256-7728,정,128.5824699,35.86490864
대구도시철도공사,3호선,건들바위,대구광역시 남구 명덕로 260(이천동),053-327-1670,정,128.5996296,35.85534949
대구도시철도공사,3호선,남산,대구광역시 중구 남산로 2(남산동),053-327-1670,정,128.5832263,35.85668226
대구도시철도공사,3호선,달성공원,대구광역시 중구 달성로 116 (수창동),053-327-1669,정,128.582081,35.87564976
대구도시철도공사,3호선,대봉교,대구광역시 남구 명덕로 330(이천동),053-327-1670,정,128.6062056,35.85494833
대구도시철도공사,3호선,동천,대구광역시 북구 팔거천동로 147(동천동),053-327-1667,정,128.5566391,35.93770707
대구도시철도공사,3호선,매천시장,대구광역시 북구 매천로18길 39,053-327-1668,정,128.545781,35.90443095
대구도시철도공사,3호선,북구청,대구광역시 서구 원대로 71 (원대동2가),053-327-1669,정,128.5813668,35.88398392
대구도시철도공사,3호선,범물,대구광역시 수성구 지범로 194,,정,128.6402331,35.82068188
대구도시철도공사,3호선,만평,대구광역시 북구 팔달로 105,053-327-1668,정,128.5610726,35.88984117
대구도시철도공사,3호선,명덕3,대구광역시 남구 명덕로 186(대명동),053-327-1670,정,128.5903535,35.85688285
대구도시철도공사,3호선,매천,대구광역시 북구 학정로 6 매천역,053-327-1668,정,128.5433761,35.91276247
대구도시철도공사,3호선,서문시장,대구광역시 중구 달성로 50(동산동),053-327-1669,정,128.5822385,35.86979901
대구도시철도공사,3호선,수성구민운동장,대구광역시 수성구 동대구로 248(범어동),053-327-1670,정,128.6253523,35.85244449
대구도시철도공사,3호선,수성못,대구광역시 수성구 동대구로 14(지산동),053-327-1671,정,128.6236049,35.83141565
대구도시철도공사,3호선,수성시장,대구광역시 수성구 명덕로 420(수성동2가),053-327-1670,정,128.6160158,35.85426708
대구도시철도공사,3호선,용지,대구광역시 수성구 범안로 83,,정,128.646876,35.81837829
대구도시철도공사,3호선,칠곡경대병원,대구광역시 북구 팔거천동로 386(동호동),053-327-1667,정,128.5598836,35.95843674
대구도시철도공사,3호선,청라언덕3,대구광역시 중구 남산로 80(남산동),053-327-1669,정,128.5823678,35.86415495
대구도시철도공사,3호선,어린이회관,대구광역시 수성구 동대구로 166,,정,128.6248375,35.84508715
대구도시철도공사,3호선,원대,대구광역시 서구 팔달로 224-2 (원대동3가),053-327-1669,정,128.5743943,35.88778077
대구도시철도공사,3호선,지산,대구광역시 수성구 지범로 100,,정,128.6315511,35.8251239
대구도시철도공사,3호선,태전,대구광역시 북구 칠곡중앙대로 262,053-327-1668,정,128.5473937,35.9196704
대구도시철도공사,3호선,칠곡운암,대구광역시 북구 팔거천동로 79(구암동),053-327-1667,정,128.5545508,35.93147855
대구도시철도공사,3호선,팔거,대구광역시 북구 팔거천동로 226(동천동),053-327-1667,정,128.5583614,35.94407941
대구도시철도공사,3호선,팔달시장,대구광역시 북구 팔달로 163-1 (노원동3가),053-327-1669,정,128.5678907,35.8888395
대구도시철도공사,3호선,학정,대구광역시 북구 팔거천동로 310(학정동),053-327-1667,정,128.559189,35.95158747
대구도시철도공사,3호선,팔달,대구광역시 북구 매천로2길 43,053-327-1668,정,128.5467202,35.89782514
대구도시철도공사,3호선,황금,대구광역시 수성구 동대구로 100,,정,128.6243003,35.83919054
